Timestamp,Event,Event Data
16:19:16,292 2016-05-26,Boiler Running,22,63 
16:19:17,093 2016-05-26,Boiler Running,23,36 
16:19:17,194 2016-05-26,Boiler Running,24,40 
16:19:17,294 2016-05-26,Boiler Running,24,73 
16:19:17,395 2016-05-26,Boiler Running,25,05 
16:19:17,494 2016-05-26,Boiler Running,25,37 
16:19:17,895 2016-05-26,Boiler Running,25,67 
16:19:34,016 2016-05-26,Boiler Running,63,84 
16:19:34,116 2016-05-26,Boiler Running,72,24 
16:19:34,216 2016-05-26,Boiler Running,78,67 
16:19:34,316 2016-05-26,Start Shutdown Purge,0,00 
16:19:34,416 2016-05-26,Start Shutdown Purge,0,10 
16:19:34,516 2016-05-26,Start Shutdown Purge,0,20 
16:19:34,616 2016-05-26,Start Shutdown Purge,0,30 
16:19:34,717 2016-05-26,Start Shutdown Purge,0,40 
16:19:34,816 2016-05-26,Start Shutdown Purge,0,50 
16:19:34,916 2016-05-26,Start Shutdown Purge,0,60 
16:19:35,017 2016-05-26,Start Shutdown Purge,0,70 
16:19:35,116 2016-05-26,Start Shutdown Purge,0,80 
16:19:35,216 2016-05-26,Start Shutdown Purge,0,90 
16:19:35,316 2016-05-26,Start Shutdown Purge,1,00 
16:19:35,418 2016-05-26,Start Shutdown Purge,1,10 
16:19:35,517 2016-05-26,Start Shutdown Purge,1,20 
16:19:35,617 2016-05-26,Start Shutdown Purge,1,30 
16:19:35,717 2016-05-26,Start Shutdown Purge,1,40 
16:19:35,817 2016-05-26,Start Shutdown Purge,1,50 
16:19:35,917 2016-05-26,Start Shutdown Purge,1,60 
16:19:36,017 2016-05-26,Start Shutdown Purge,1,70 
16:19:36,117 2016-05-26,Start Shutdown Purge,1,80 
16:19:36,217 2016-05-26,Start Shutdown Purge,1,90 
16:19:36,319 2016-05-26,Start Shutdown Purge,2,00 
16:19:36,419 2016-05-26,Start Shutdown Purge,2,10 
16:19:36,519 2016-05-26,Start Shutdown Purge,2,20 
16:19:36,619 2016-05-26,Start Shutdown Purge,2,30 
16:19:36,719 2016-05-26,Start Shutdown Purge,2,40 
16:19:36,819 2016-05-26,Start Shutdown Purge,2,50 
16:19:36,919 2016-05-26,Start Shutdown Purge,2,60 
16:19:37,019 2016-05-26,Start Shutdown Purge,2,70 
16:19:37,119 2016-05-26,Start Shutdown Purge,2,80 
16:19:37,219 2016-05-26,Start Shutdown Purge,2,90 
16:19:37,319 2016-05-26,Start Shutdown Purge,3,00 
16:19:37,419 2016-05-26,Start Shutdown Purge,3,10 
16:19:37,519 2016-05-26,Start Shutdown Purge,3,20 
16:19:37,619 2016-05-26,Start Shutdown Purge,3,30 
16:19:37,719 2016-05-26,Start Shutdown Purge,3,40 
16:19:37,820 2016-05-26,Start Shutdown Purge,3,50 
16:19:37,920 2016-05-26,Start Shutdown Purge,3,60 
16:19:38,020 2016-05-26,Start Shutdown Purge,3,70 
16:19:38,120 2016-05-26,Start Shutdown Purge,3,80 
16:19:38,220 2016-05-26,Start Shutdown Purge,3,90 
16:19:38,321 2016-05-26,Start Shutdown Purge,4,00 
16:19:38,420 2016-05-26,Start Shutdown Purge,4,10 
16:19:38,520 2016-05-26,Start Shutdown Purge,4,20 
16:19:38,620 2016-05-26,Start Shutdown Purge,4,30 
16:19:38,720 2016-05-26,Start Shutdown Purge,4,40 
16:19:38,820 2016-05-26,Start Shutdown Purge,4,50 
16:19:38,920 2016-05-26,Start Shutdown Purge,4,60 
16:19:39,021 2016-05-26,Start Shutdown Purge,4,71 
16:19:39,122 2016-05-26,Start Shutdown Purge,4,81 
16:19:39,222 2016-05-26,Start Shutdown Purge,4,91 
16:19:39,322 2016-05-26,Start Shutdown Purge,5,01 
16:19:39,423 2016-05-26,Start Shutdown Purge,5,11 
16:19:39,523 2016-05-26,Start Shutdown Purge,5,21 
16:19:39,623 2016-05-26,Start Shutdown Purge,5,31 
16:19:39,723 2016-05-26,Start Shutdown Purge,5,41 
16:19:39,823 2016-05-26,Start Shutdown Purge,5,51 
16:19:39,923 2016-05-26,Start Shutdown Purge,5,61 
16:19:40,023 2016-05-26,Start Shutdown Purge,5,71 
16:19:40,123 2016-05-26,Start Shutdown Purge,5,81 
16:19:40,223 2016-05-26,Start Shutdown Purge,5,91 
16:19:40,323 2016-05-26,Start Shutdown Purge,6,01 
16:19:40,423 2016-05-26,Start Shutdown Purge,6,11 
16:19:40,525 2016-05-26,Start Shutdown Purge,6,21 
16:19:40,624 2016-05-26,Start Shutdown Purge,6,31 
16:19:40,726 2016-05-26,Start Shutdown Purge,6,41 
16:19:40,825 2016-05-26,Start Shutdown Purge,6,51 
16:19:40,925 2016-05-26,Start Shutdown Purge,6,61 
16:19:41,025 2016-05-26,Start Shutdown Purge,6,71 
16:19:41,125 2016-05-26,Start Shutdown Purge,6,81 
16:19:41,225 2016-05-26,Start Shutdown Purge,6,91 
16:19:41,325 2016-05-26,Start Shutdown Purge,7,01 
16:19:41,425 2016-05-26,Start Shutdown Purge,7,11 
16:19:41,525 2016-05-26,Start Shutdown Purge,7,21 
16:19:41,625 2016-05-26,Start Shutdown Purge,7,31 
16:19:41,725 2016-05-26,Start Shutdown Purge,7,41 
16:19:41,825 2016-05-26,Start Shutdown Purge,7,51 
16:19:41,925 2016-05-26,Start Shutdown Purge,7,61 
